"province","city","date","infected","dead","recovered"
"Guizhou","total","Jan-11-2020",0,0,0
"Guizhou","total","Jan-16-2020",0,0,0
"Guizhou","total","Jan-17-2020",0,0,0
"Guizhou","total","Jan-18-2020",0,0,0
"Guizhou","total","Jan-20-2020",0,0,0
"Guizhou","total","Jan-21-2020",0,0,0
"Guizhou","total","Jan-22-2020",1,0,0
"Guizhou","total","Jan-23-2020",3,0,0
"Guizhou","total","Jan-24-2020",3,0,0
"Guizhou","total","Jan-25-2020",5,0,0
"Guizhou","total","Jan-26-2020",7,0,0
"Guizhou","total","Jan-27-2020",9,0,0
"Guizhou","total","Jan-28-2020",9,0,0
"Guizhou","total","Jan-29-2020",12,0,1
"Guizhou","total","Jan-30-2020",15,0,1
"Guizhou","total","Jan-31-2020",29,0,2
"Guizhou","total","Feb-01-2020",38,0,2
"Guizhou","total","Feb-02-2020",46,0,2
"Guizhou","total","Feb-03-2020",56,0,2
"Guizhou","total","Feb-04-2020",64,0,2
"Guizhou","total","Feb-05-2020",69,1,6
"Guizhou","total","Feb-06-2020",77,1,6
"Guizhou","total","Feb-07-2020",89,1,6
"Guizhou","total","Feb-08-2020",96,1,7
"Guizhou","total","Feb-09-2020",109,1,7
"Guizhou","total","Feb-10-2020",118,1,10
"Guizhou","total","Feb-11-2020",131,1,17
"Guizhou","total","Feb-12-2020",135,1,20
"Guizhou","total","Feb-13-2020",140,1,28
"Guizhou","total","Feb-14-2020",143,1,39
"Guizhou","total","Feb-15-2020",144,1,41
"Guizhou","total","Feb-16-2020",146,1,56
"Guizhou","total","Feb-17-2020",146,1,66
"Guizhou","total","Feb-18-2020",146,2,69
"Guizhou","total","Feb-19-2020",146,2,71
"Guizhou","total","Feb-20-2020",146,2,76
