province,population
Guizhou,3475
Hubei,5917
Shaanxi,3733
Gansu,2558
Shanxi,3650
Guangxi,4838
Ningxia,630.1
Hunan,6918.38
Tianjin,1291.1
Beijing,2154.2
Heilongjiang,3831
Shanghai,2423.78
Fujian,3856
Liaoning,4390
Chongqing,3101.79
Jilin,2746
Qinghai,562.7
Guangdong,11346
Jiangxi,4622.06
Neimenggu,2471
Xinjiang,2181
Zhejiang,5737
Jiangsu,8050.7
Anhui,6323.6
Henan,9605
Yunnan,4597
Hainan,925.8
Hebei,7470
Sichuan,8302
Shandong,10047
Xianggang,739.2
Taiwan,2378
Aomen,62.26
All provinces,140933.67
All without Hubei,135016.67
Wuhan,853.65
Huangshi,270.91
Shiyan,346.16
Yichang,382.26
Xiangyang,591.97
Ezhou,110.77
Jingmen,292.42
Xiaogan,519.19
Jingzhou,642.01
Huanggang,740.31
Xianning,304.01
Suizhou,250.3
Enshizhou,401.36
Xiantao,154.45
Tianmen,161.08
